"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"475","Klay Thompson","Golden State Warriors","3/28/2017",2016,3,11,42,"shot_no","Jump Shot","3PT Field Goal",24,"Houston Rockets",-241,21,25
"476","Klay Thompson","Golden State Warriors","3/28/2017",2016,3,10,31,"shot_no","Jump Shot","3PT Field Goal",25,"Houston Rockets",204,151,26
"477","Klay Thompson","Golden State Warriors","11/21/2016",2016,1,9,55,"shot_yes","Jump Shot","3PT Field Goal",25,"Indiana Pacers",48,252,3
"478","Klay Thompson","Golden State Warriors","11/21/2016",2016,3,2,57,"shot_yes","Jump Shot","3PT Field Goal",24,"Indiana Pacers",-209,134,34
"479","Klay Thompson","Golden State Warriors","3/28/2017",2016,2,1,30,"shot_no","Jump Shot","3PT Field Goal",24,"Houston Rockets",30,242,23
"480","Klay Thompson","Golden State Warriors","3/5/2017",2016,2,0,36,"shot_no","Jump Shot","3PT Field Goal",24,"New York Knicks",-142,203,24
"481","Klay Thompson","Golden State Warriors","3/5/2017",2016,4,5,41,"shot_yes","Jump Shot","3PT Field Goal",23,"New York Knicks",210,115,43
"482","Klay Thompson","Golden State Warriors","3/5/2017",2016,4,4,39,"shot_no","Jump Shot","2PT Field Goal",16,"New York Knicks",163,-29,44
"483","Klay Thompson","Golden State Warriors","3/5/2017",2016,4,0,46,"shot_no","Jump Shot","3PT Field Goal",23,"New York Knicks",235,18,48
"484","Klay Thompson","Golden State Warriors","3/5/2017",2016,1,11,21,"shot_no","Jump Shot","2PT Field Goal",5,"New York Knicks",24,52,1
"485","Klay Thompson","Golden State Warriors","11/21/2016",2016,3,8,38,"shot_no","Jump Shot","3PT Field Goal",25,"Indiana Pacers",236,100,28
"486","Klay Thompson","Golden State Warriors","3/5/2017",2016,4,6,29,"shot_no","Jump Shot","3PT Field Goal",24,"New York Knicks",-178,174,42
"487","Klay Thompson","Golden State Warriors","3/5/2017",2016,1,4,17,"shot_yes","Jump Shot","3PT Field Goal",23,"New York Knicks",218,100,8
"488","Klay Thompson","Golden State Warriors","3/5/2017",2016,1,3,34,"shot_no","Jump Shot","2PT Field Goal",9,"New York Knicks",64,67,9
"489","Klay Thompson","Golden State Warriors","3/5/2017",2016,4,10,25,"shot_yes","Jump Shot","3PT Field Goal",26,"New York Knicks",238,110,38
"490","Klay Thompson","Golden State Warriors","3/5/2017",2016,4,1,40,"shot_no","Jump Shot","3PT Field Goal",23,"New York Knicks",233,-24,47
"491","Klay Thompson","Golden State Warriors","3/5/2017",2016,4,2,10,"shot_yes","Jump Shot","2PT Field Goal",20,"New York Knicks",192,65,46
"492","Klay Thompson","Golden State Warriors","3/28/2017",2016,3,6,38,"shot_no","Jump Shot","3PT Field Goal",24,"Houston Rockets",161,190,30
"493","Klay Thompson","Golden State Warriors","3/28/2017",2016,2,7,57,"shot_yes","Jump Shot","3PT Field Goal",23,"Houston Rockets",-233,38,17
